cell_index,lon_min,lon_max,lat_min,lat_max,ray_count,phase_velocity_km_s
303,-122.30999999999999,-122.29999999999998,46.17999999999998,46.189999999999976,64.0,2.64716733451097
304,-122.29999999999998,-122.28999999999998,46.17999999999998,46.189999999999976,127.0,2.6205006507083644
305,-122.28999999999998,-122.27999999999997,46.17999999999998,46.189999999999976,534.0,2.585570231442331
306,-122.27999999999997,-122.26999999999997,46.17999999999998,46.189999999999976,1277.0,2.619278587663829
307,-122.26999999999997,-122.25999999999996,46.17999999999998,46.189999999999976,1343.0,2.6843948980012793
308,-122.25999999999996,-122.24999999999996,46.17999999999998,46.189999999999976,1575.0,2.6916115978973116
309,-122.24999999999996,-122.23999999999995,46.17999999999998,46.189999999999976,1537.0,2.6805450739602574
310,-122.23999999999995,-122.22999999999995,46.17999999999998,46.189999999999976,1786.0,2.7013511015352742
311,-122.22999999999995,-122.21999999999994,46.17999999999998,46.189999999999976,1947.0,2.7104857636264366
312,-122.21999999999994,-122.20999999999994,46.17999999999998,46.189999999999976,1687.0,2.713640822762985
313,-122.20999999999994,-122.19999999999993,46.17999999999998,46.189999999999976,1621.0,2.6758541089166465
314,-122.19999999999993,-122.18999999999993,46.17999999999998,46.189999999999976,1639.0,2.6878605565566307
315,-122.18999999999993,-122.17999999999992,46.17999999999998,46.189999999999976,1445.0,2.7461769725093634
316,-122.17999999999992,-122.16999999999992,46.17999999999998,46.189999999999976,1618.0,2.8336914893829976
317,-122.16999999999992,-122.15999999999991,46.17999999999998,46.189999999999976,2147.0,2.897787982464267
318,-122.15999999999991,-122.1499999999999,46.17999999999998,46.189999999999976,2583.0,2.898414931489858
319,-122.1499999999999,-122.1399999999999,46.17999999999998,46.189999999999976,2441.0,2.79823380027239
320,-122.1399999999999,-122.1299999999999,46.17999999999998,46.189999999999976,2331.0,2.7545500164702776
321,-122.1299999999999,-122.11999999999989,46.17999999999998,46.189999999999976,2318.0,2.7570507959748496
322,-122.11999999999989,-122.10999999999989,46.17999999999998,46.189999999999976,1890.0,2.706304695702276
323,-122.10999999999989,-122.09999999999988,46.17999999999998,46.189999999999976,1299.0,2.697828175591452
324,-122.09999999999988,-122.08999999999988,46.17999999999998,46.189999999999976,1107.0,2.715500403203084
325,-122.08999999999988,-122.07999999999987,46.17999999999998,46.189999999999976,1140.0,2.7519016228234627
326,-122.07999999999987,-122.06999999999987,46.17999999999998,46.189999999999976,1277.0,2.8224984308570185
327,-122.06999999999987,-122.05999999999986,46.17999999999998,46.189999999999976,1226.0,2.8804265401098132
328,-122.05999999999986,-122.04999999999986,46.17999999999998,46.189999999999976,225.0,2.906760604276714
329,-122.04999999999986,-122.03999999999985,46.17999999999998,46.189999999999976,27.0,2.909064641335754
330,-122.34,-122.33,46.189999999999976,46.199999999999974,0.0,2.7425165240892975
331,-122.33,-122.32,46.189999999999976,46.199999999999974,5.0,2.7329305683020575
332,-122.32,-122.30999999999999,46.189999999999976,46.199999999999974,13.0,2.718228861984219
333,-122.30999999999999,-122.29999999999998,46.189999999999976,46.199999999999974,40.0,2.6920937609012725
334,-122.29999999999998,-122.28999999999998,46.189999999999976,46.199999999999974,124.0,2.660939774609835
335,-122.28999999999998,-122.27999999999997,46.189999999999976,46.199999999999974,268.0,2.6331935257121537
336,-122.27999999999997,-122.26999999999997,46.189999999999976,46.199999999999974,1110.0,2.6530981789650223
337,-122.26999999999997,-122.25999999999996,46.189999999999976,46.199999999999974,1538.0,2.7255163095302697
338,-122.25999999999996,-122.24999999999996,46.189999999999976,46.199999999999974,1839.0,2.69181047148654
339,-122.24999999999996,-122.23999999999995,46.189999999999976,46.199999999999974,1747.0,2.687067422758603
340,-122.23999999999995,-122.22999999999995,46.189999999999976,46.199999999999974,1669.0,2.699539391461224
341,-122.22999999999995,-122.21999999999994,46.189999999999976,46.199999999999974,1702.0,2.6874959076485294
342,-122.21999999999994,-122.20999999999994,46.189999999999976,46.199999999999974,1860.0,2.684431900255837
343,-122.20999999999994,-122.19999999999993,46.189999999999976,46.199999999999974,1718.0,2.6841426325577715
344,-122.19999999999993,-122.18999999999993,46.189999999999976,46.199999999999974,1499.0,2.7312966296114065
345,-122.18999999999993,-122.17999999999992,46.189999999999976,46.199999999999974,1553.0,2.809546450214969
346,-122.17999999999992,-122.16999999999992,46.189999999999976,46.199999999999974,1602.0,2.9409729658767696
347,-122.16999999999992,-122.15999999999991,46.189999999999976,46.199999999999974,1905.0,2.97957200643996
348,-122.15999999999991,-122.1499999999999,46.189999999999976,46.199999999999974,2310.0,2.913007050967854
349,-122.1499999999999,-122.1399999999999,46.189999999999976,46.199999999999974,2464.0,2.8214534592289455
350,-122.1399999999999,-122.1299999999999,46.189999999999976,46.199999999999974,2440.0,2.7805719710048122
351,-122.1299999999999,-122.11999999999989,46.189999999999976,46.199999999999974,2254.0,2.807797873094561
352,-122.11999999999989,-122.10999999999989,46.189999999999976,46.199999999999974,2081.0,2.822958540091808
353,-122.10999999999989,-122.09999999999988,46.189999999999976,46.199999999999974,1698.0,2.8236717974235446
354,-122.09999999999988,-122.08999999999988,46.189999999999976,46.199999999999974,1289.0,2.845173438006989
355,-122.08999999999988,-122.07999999999987,46.189999999999976,46.199999999999974,1201.0,2.881538779126606
356,-122.07999999999987,-122.06999999999987,46.189999999999976,46.199999999999974,995.0,2.87196221121851
357,-122.06999999999987,-122.05999999999986,46.189999999999976,46.199999999999974,361.0,2.852439707267444
358,-122.05999999999986,-122.04999999999986,46.189999999999976,46.199999999999974,47.0,2.8740404067747005
359,-122.04999999999986,-122.03999999999985,46.189999999999976,46.199999999999974,7.0,2.8738712987113413
360,-122.34,-122.33,46.199999999999974,46.20999999999997,0.0,2.782351335358253
361,-122.33,-122.32,46.199999999999974,46.20999999999997,4.0,2.777551198523672
362,-122.32,-122.30999999999999,46.199999999999974,46.20999999999997,12.0,2.7730939374295884
363,-122.30999999999999,-122.29999999999998,46.199999999999974,46.20999999999997,40.0,2.7612188455995432
