cell_index,lon_min,lon_max,lat_min,lat_max,ray_count,phase_velocity_km_s
323,-122.10999999999989,-122.09999999999988,46.17999999999998,46.189999999999976,1319.0,2.700400350262841
324,-122.09999999999988,-122.08999999999988,46.17999999999998,46.189999999999976,1117.0,2.7227052177169337
325,-122.08999999999988,-122.07999999999987,46.17999999999998,46.189999999999976,1154.0,2.750804069451096
326,-122.07999999999987,-122.06999999999987,46.17999999999998,46.189999999999976,1280.0,2.817029506569964
327,-122.06999999999987,-122.05999999999986,46.17999999999998,46.189999999999976,1224.0,2.8741655678292473
328,-122.05999999999986,-122.04999999999986,46.17999999999998,46.189999999999976,221.0,2.8998426443382295
329,-122.04999999999986,-122.03999999999985,46.17999999999998,46.189999999999976,28.0,2.8999903024799965
330,-122.34,-122.33,46.189999999999976,46.199999999999974,0.0,2.742063643227076
331,-122.33,-122.32,46.189999999999976,46.199999999999974,4.0,2.7323763029701134
332,-122.32,-122.30999999999999,46.189999999999976,46.199999999999974,13.0,2.7178291641053285
333,-122.30999999999999,-122.29999999999998,46.189999999999976,46.199999999999974,39.0,2.6950931093558794
334,-122.29999999999998,-122.28999999999998,46.189999999999976,46.199999999999974,123.0,2.664791375158397
335,-122.28999999999998,-122.27999999999997,46.189999999999976,46.199999999999974,266.0,2.638647748147689
336,-122.27999999999997,-122.26999999999997,46.189999999999976,46.199999999999974,1107.0,2.6569829648604157
337,-122.26999999999997,-122.25999999999996,46.189999999999976,46.199999999999974,1526.0,2.7216056123082426
338,-122.25999999999996,-122.24999999999996,46.189999999999976,46.199999999999974,1851.0,2.6899191880709563
339,-122.24999999999996,-122.23999999999995,46.189999999999976,46.199999999999974,1743.0,2.6868957742912367
340,-122.23999999999995,-122.22999999999995,46.189999999999976,46.199999999999974,1677.0,2.705517336764373
341,-122.22999999999995,-122.21999999999994,46.189999999999976,46.199999999999974,1711.0,2.6978971830379685
342,-122.21999999999994,-122.20999999999994,46.189999999999976,46.199999999999974,1876.0,2.6930726107332448
343,-122.20999999999994,-122.19999999999993,46.189999999999976,46.199999999999974,1727.0,2.688519284490788
344,-122.19999999999993,-122.18999999999993,46.189999999999976,46.199999999999974,1468.0,2.732090433646768
345,-122.18999999999993,-122.17999999999992,46.189999999999976,46.199999999999974,1555.0,2.8020795312890505
