source,receiver,distance_km,original_path,cleaned_path,scale
1D.4529,1D.4239,7.224873,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4239/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4239/1D.4529/stack_pws.h5,0.000216
1D.4529,1D.4237,7.229106,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4237/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4237/1D.4529/stack_pws.h5,0.001655
1D.4529,1D.4236,7.234747,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4236/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4236/1D.4529/stack_pws.h5,0.000526
1D.4529,1D.4238,7.287976,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4238/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4238/1D.4529/stack_pws.h5,0.000527
1D.4529,1D.4235,7.293330,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4235/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4235/1D.4529/stack_pws.h5,0.001270
1D.4529,1D.4234,7.426411,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4234/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4234/1D.4529/stack_pws.h5,0.001046
1D.4529,1D.4233,7.463523,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4233/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4233/1D.4529/stack_pws.h5,-0.000289
1D.4529,1D.4232,7.514890,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4232/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4232/1D.4529/stack_pws.h5,0.000601
1D.4529,1D.4231,7.592536,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4231/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4231/1D.4529/stack_pws.h5,-0.003228
1D.4529,1D.4399,7.661998,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4399/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4399/1D.4529/stack_pws.h5,-0.001236
