source,receiver,distance_km,receiver_latitude,receiver_longitude,path
1D.4529,1D.4329,12.250374,46.142200,-122.170502,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4329/1D.4529/stack_pws.h5
1D.4529,1D.4314,12.265299,46.140800,-122.170303,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4314/1D.4529/stack_pws.h5
1D.4529,1D.4316,12.320866,46.148201,-122.169899,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4316/1D.4529/stack_pws.h5
1D.4529,1D.4331,12.326151,46.146599,-122.169701,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4331/1D.4529/stack_pws.h5
1D.4529,1D.4335,12.367662,46.155499,-122.170303,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4335/1D.4529/stack_pws.h5
1D.4529,1D.4332,12.373916,46.149101,-122.169296,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4332/1D.4529/stack_pws.h5
1D.4529,1D.4010,12.383059,46.157501,-122.170502,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4010/1D.4529/stack_pws.h5
1D.4529,1D.4333,12.407826,46.151199,-122.169098,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4333/1D.4529/stack_pws.h5
1D.4529,1D.4334,12.415758,46.153301,-122.169296,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4334/1D.4529/stack_pws.h5
1D.4529,1D.4315,12.450219,46.145100,-122.167999,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4315/1D.4529/stack_pws.h5
1D.4529,1D.4012,12.863432,46.157501,-122.164200,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4012/1D.4529/stack_pws.h5
1D.4529,1D.4013,12.996241,46.156700,-122.162300,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4013/1D.4529/stack_pws.h5
1D.4529,1D.4014,13.042742,46.155102,-122.161400,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4014/1D.4529/stack_pws.h5
1D.4529,1D.4015,13.262541,46.153702,-122.158302,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4015/1D.4529/stack_pws.h5
1D.4529,1D.4289,13.334504,46.147999,-122.156700,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4289/1D.4529/stack_pws.h5
1D.4529,1D.4290,13.526123,46.150101,-122.154404,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4290/1D.4529/stack_pws.h5
1D.4529,1D.4016,13.575449,46.154900,-122.154404,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4016/1D.4529/stack_pws.h5
1D.4529,1D.4288,13.581041,46.148102,-122.153503,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4288/1D.4529/stack_pws.h5
1D.4529,1D.4017,13.721716,46.156700,-122.152802,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4017/1D.4529/stack_pws.h5
1D.4529,1D.4291,13.729562,46.152199,-122.152000,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4291/1D.4529/stack_pws.h5
1D.4529,1D.4287,13.749562,46.149101,-122.151398,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4287/1D.4529/stack_pws.h5
1D.4529,1D.4018,13.852394,46.158798,-122.151497,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4018/1D.4529/stack_pws.h5
1D.4529,1D.4292,13.854033,46.153801,-122.150597,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4292/1D.4529/stack_pws.h5
1D.4529,1D.4286,13.906850,46.149601,-122.149399,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4286/1D.4529/stack_pws.h5
1D.4529,1D.4293,14.001502,46.155899,-122.149002,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4293/1D.4529/stack_pws.h5
1D.4529,1D.4285,14.102593,46.148998,-122.146797,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4285/1D.4529/stack_pws.h5
1D.4529,1D.4284,14.136052,46.146900,-122.146202,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4284/1D.4529/stack_pws.h5
1D.4529,1D.4297,14.194682,46.151001,-122.145798,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4297/1D.4529/stack_pws.h5
1D.4529,1D.4282,14.210533,46.144199,-122.145103,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4282/1D.4529/stack_pws.h5
1D.4529,1D.4294,14.235791,46.157398,-122.146202,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4294/1D.4529/stack_pws.h5
1D.4529,1D.4283,14.279506,46.146301,-122.144302,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4283/1D.4529/stack_pws.h5
1D.4529,1D.4281,14.315754,46.139801,-122.143700,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4281/1D.4529/stack_pws.h5
1D.4529,1D.4280,14.399824,46.142101,-122.142601,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4280/1D.4529/stack_pws.h5
1D.4529,1D.4295,14.430555,46.157101,-122.143600,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4295/1D.4529/stack_pws.h5
1D.4529,1D.4298,14.468278,46.151600,-122.142303,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4298/1D.4529/stack_pws.h5
1D.4529,1D.4296,14.640491,46.156200,-122.140701,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4296/1D.4529/stack_pws.h5
1D.4529,1D.4279,14.693959,46.143299,-122.138802,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4279/1D.4529/stack_pws.h5
1D.4529,1D.4299,14.742232,46.151299,-122.138702,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4299/1D.4529/stack_pws.h5
1D.4529,1D.4320,14.804780,46.155201,-122.138397,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4320/1D.4529/stack_pws.h5
1D.4529,1D.4300,14.849743,46.150299,-122.137199,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4300/1D.4529/stack_pws.h5
1D.4529,1D.4301,14.959572,46.149502,-122.135696,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4301/1D.4529/stack_pws.h5
1D.4529,1D.4319,14.962288,46.153500,-122.136101,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4319/1D.4529/stack_pws.h5
1D.4529,1D.4278,14.965339,46.144100,-122.135300,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4278/1D.4529/stack_pws.h5
1D.4529,1D.4312,15.014073,46.152500,-122.135300,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4312/1D.4529/stack_pws.h5
1D.4529,1D.4311,15.023063,46.151798,-122.135101,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4311/1D.4529/stack_pws.h5
1D.4529,1D.4310,15.055857,46.151100,-122.134598,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4310/1D.4529/stack_pws.h5
1D.4529,1D.4302,15.064908,46.149200,-122.134300,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4302/1D.4529/stack_pws.h5
1D.4529,1D.4309,15.126513,46.150299,-122.133598,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4309/1D.4529/stack_pws.h5
1D.4529,1D.4303,15.141096,46.149101,-122.133301,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4303/1D.4529/stack_pws.h5
1D.4529,1D.4308,15.159028,46.149502,-122.133102,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4308/1D.4529/stack_pws.h5
1D.4529,1D.4304,15.200819,46.148800,-122.132500,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4304/1D.4529/stack_pws.h5
1D.4529,1D.4305,15.243136,46.148102,-122.131897,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4305/1D.4529/stack_pws.h5
1D.4529,1D.4277,15.260127,46.144901,-122.131500,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4277/1D.4529/stack_pws.h5
1D.4529,1D.4306,15.277619,46.147400,-122.131401,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4306/1D.4529/stack_pws.h5
1D.4529,1D.4307,15.313512,46.146801,-122.130898,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4307/1D.4529/stack_pws.h5
1D.4529,1D.4276,15.571300,46.145901,-122.127502,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4276/1D.4529/stack_pws.h5
1D.4529,1D.4497,15.671221,46.140400,-122.126099,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4497/1D.4529/stack_pws.h5
1D.4529,1D.4275,15.929111,46.144600,-122.122803,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4275/1D.4529/stack_pws.h5
1D.4529,1D.4274,16.102617,46.142101,-122.120499,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4274/1D.4529/stack_pws.h5
1D.4529,1D.4472,16.444975,46.144299,-122.116096,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4472/1D.4529/stack_pws.h5
1D.4529,1D.4473,16.722771,46.146999,-122.112602,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4473/1D.4529/stack_pws.h5
1D.4529,1D.4474,16.973265,46.149300,-122.109497,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4474/1D.4529/stack_pws.h5
